PCardID,PName,Sex,Age
120103197605312327,郭瑛                ,0,44
120103200406111156,付影                ,1,16
120103200412041457,史增树              ,1,16
120103200508071036,崔新                ,1,15
120104193306012170,马屹                ,1,87
120104193605263033,吕学跃              ,1,84
120104194903084652,徐超                ,1,71
120104196112223061,孟艳琴              ,0,59
120104196302044857,郭黎宾              ,1,57
120104197007310950,姚未                ,1,50
120104199608144117,水建国              ,1,24
12010419970623313X,陈红光              ,1,23
120104200307213153,沈燕文              ,1,17
120105193907162357,朱永生              ,1,81
120105194308073488,陈芳                ,0,77
120105194902280404,杨姚娟              ,0,71
12010519620422122X,肖美娴              ,0,58
120105196308231131,孙中永              ,1,57
120105196701183674,刘如华              ,1,53
120105196704141680,潘丹丹              ,0,53
120105198211241105,俞锦颖              ,0,38
12010519840227417X,张严辉              ,1,36
120105199910200200,姜朝莹              ,0,21
120105201201070837,黄国荣              ,1,8
120106194310274357,李庆斌              ,1,77
120106194901313442,陈金梅              ,0,71
120106196502284153,曹存波              ,1,55
120106197111182955,邱立彦              ,1,49
120106198301264729,伏虹瑾              ,0,37
120106200211011808,郭惠珍              ,0,18
120106201204022845,林爱梅              ,0,8
120106201707251009,王海静              ,0,3
120110193811212218,章兴潮              ,1,82
120110195611161945,王明瑶              ,0,64
120110196804113637,陈步元              ,1,52
120110196907303265,胡玉萍              ,0,51
120110198508011248,杜海燕              ,0,35
120110198709181032,王金生              ,1,33
12011019890828443X,田东晗              ,1,31
120110201205261228,邓亚红              ,0,8
120111194903180728,王容                ,0,71
120111198611274536,俞金养              ,1,34
120111199412091264,林婉静              ,0,26
120111201509274972,丁光                ,1,5
120112196904073575,郑胜飞              ,1,51
120112197009101765,叶春娟              ,0,50
120112197705240734,蒙谦                ,1,43
120112198404270088,李雅芳              ,0,36
120112198907310539,陈稳当              ,1,31
120112199212163338,綦晓伟              ,1,28
120112200310054253,任向宇              ,1,17
120112200812314203,黄方莹              ,0,12
120112201104052219,陈培森              ,1,9
120113193404163956,韩振元              ,1,86
120113194012212565,熊秋萍              ,0,80
120113194708210795,李泽宇              ,1,73
120113197503154148,张世萍              ,0,45
120113197902111233,王海鸣              ,1,41
120113200010220543,唐继蓉              ,0,20
12011320001226059X,顾炎                ,1,20
120113201011192577,杜传义              ,1,10
120114194203084013,成蔚然              ,1,78
120114196910204351,薛少飞              ,1,51
120114197112183992,刘笑远              ,1,49
120114197804280312,邱成                ,1,42
120114199508173044,赵正兰              ,0,25
120114200809123695,宋守刚              ,1,12
120114201506243571,盛天文              ,1,5
120115194008291654,林斌                ,1,80
120115197104180237,徐少华              ,1,49
120115197201261338,齐志                ,1,48
120115197612053154,莫月能              ,1,44
120115198907091937,陈佳                ,1,31
120115199707261553,吉小峰              ,1,23
120116193407061321,徐芸                ,0,86
120116193612161962,陈叶平              ,0,84
120116193905220188,侯水蓉              ,0,81
120116194211073851,叶剑盛              ,1,78
120116194703173453,王兴叠              ,1,73
120116195402010057,陈潇                ,1,66
120116195505171873,李丁丁              ,1,65
120116196602134155,励东                ,1,54
120116197103261533,简立坚              ,1,49
12011619891102133X,王相庆              ,1,31
120117193305220260,程媛媛              ,0,87
120117194003033122,徐燕婷              ,0,80
120117194503252567,丁萍                ,0,75
120117196305280363,赵艳丽              ,0,57
120117198403024135,丁兴华              ,1,36
120117200312261397,袁俊峰              ,1,17
12011720040224219X,王清                ,1,16
120117200710184710,周辉文              ,1,13
120117200907201131,李澍田              ,1,11
120118194202152622,沈蕾                ,0,78
120118194605253444,连迎青              ,0,74
120118195012064378,郑昊宇              ,1,70
120118197902020413,陈镜棠              ,1,41
120118199903013521,练媛媛              ,0,21
120118200503023267,周献玲              ,0,15
120118200503242179,范泰申              ,1,15
120118200901132725,张仲莲              ,0,11
120119195007051165,龚德慧              ,0,70
120119196006223062,赵佳苗              ,0,60
120119199211184051,邓翔云              ,1,28
120119200107151087,徐小琳              ,0,19
120119201505284701,张佳慧              ,0,5
130102193504202185,潘静                ,0,85
130102194508200042,范晨燕              ,0,75
130102194903274578,张剑华              ,1,71
130102195305261026,王秀平              ,0,67
130102196506194354,江海                ,1,55
130102198812263599,代振                ,1,32
130102199510220539,朱鲁明              ,1,25
13010220070615353X,盖亮                ,1,13
130102201206201157,陆宇德              ,1,8
130104193908114272,蒋先海              ,1,81
130104196812302774,胡明礼              ,1,52
130104199209300911,王育军              ,1,28
130104201705314191,刘宏奏              ,1,3
130105193701062643,代怡                ,0,83
130105193703143084,颜晶莹              ,0,83
130105194411103923,廖晓丽              ,0,76
130105195303231295,张晏铭              ,1,67
130105196306161530,芦国华              ,1,57
130105197404122556,陆云卿              ,1,46
130105198602054827,刘伶俐              ,0,34
130105199205141534,丁阳东              ,1,28
130105199906302839,谢依然              ,1,21
130105200507060110,窦鹏                ,1,15
130105200908052250,李宗安              ,1,11
130105201011250222,魏国勤              ,0,10
13010719301113063X,陈云峰              ,1,90
130107193312130975,赖春圃              ,1,87
130107193401103637,吴亚俊              ,1,86
130107196802171829,韦芬                ,0,52
130107198611100314,慕利军              ,1,34
130107199510134237,陈永智              ,1,25
130107199511242758,龚勋                ,1,25
130107200202154020,萧玉兰              ,0,18
130107200709143507,刘桂珍              ,0,13
130107200811161672,刘挺                ,1,12
130107201102112784,王珊珊              ,0,9
130107201106164856,胡明琪              ,1,9
130107201507231095,梁清清              ,1,5
130107201603032651,朱俊贤              ,1,4
130108194009174052,刘美松              ,1,80
130108194212300851,孙延鹏              ,1,78
130108194808233039,张丽云              ,1,72
130108195208050479,薛皓                ,1,68
13010819570210468X,黄惠芳              ,0,63
130108197505314927,祝琳                ,0,45
130108197901140383,李英晓              ,0,41
130108197908222672,吴德杰              ,1,41
13010819821223416X,王慧慧              ,0,38
130108200801194936,魏志龙              ,1,12
130108201104273318,刘蕊全              ,1,9
130109194102054537,孙忠凯              ,1,79
130109194811184502,伏玉芳              ,0,72
130109195209223817,廖怀均              ,1,68
130109195407281620,龚媛媛              ,0,66
130109195712261861,陆志芳              ,0,63
130109196309063472,丁伯生              ,1,57
13010919671027273X,吴佳                ,1,53
130109197606274318,李奕                ,1,44
130109197702010283,方丽艳              ,0,43
130109197905313049,吴绪英              ,0,41
130109198302130707,杨丽                ,0,37
130109198509160831,冯周利              ,1,35
130109201006233853,杨兆友              ,1,10
130110193409101036,邱凉凉              ,1,86
130110193601113715,朱晓峻              ,1,84
130110195105102047,冯晓玲              ,0,69
130110195505072473,周可                ,1,65
130110197601090590,何如月              ,1,44
130110199009150549,胡莎莉              ,0,30
130110200210130756,徐兆梁              ,1,18
130111196002042273,刘路                ,1,60
130111197204141792,李建峰              ,1,48
130111197812140961,汤丹丹              ,0,42
130111197812264833,樊邦勇              ,1,42
130111198206051138,王允海              ,1,38
130111198907154359,袁少鹏              ,1,31
130121194508134726,乔荣英              ,0,75
13012119530707491X,朱浩                ,1,67
130121196708232952,易洋                ,1,53
130121197206041181,张丽洁              ,0,48
130121198509174269,吴晓琼              ,0,35
130121198910232701,任洁雨              ,0,31
130121199303224114,张惠乔              ,1,27
130121199904053410,成凤洋              ,1,21
13012120010225075X,何瀚辰              ,1,19
13012120061022155X,吴国栋              ,1,14
130121200803212668,陈玉兰              ,0,12
13012120100620183X,朱荣富              ,1,10
130123195307172248,赵丽萍              ,0,67
130123195610040758,曾佳                ,1,64
130123196903163991,王军                ,1,51
130123197511073078,于海奇              ,1,45
130123198011261798,慕煦阳              ,1,40
13012319860626287X,吴赛月              ,1,34
130123198905312312,肖崭                ,1,31
130123199804062478,顾耀军              ,1,22
130125193408124820,任大玲              ,0,86
130125194602152707,刘伟钗              ,0,74
130125196711282075,李卫刚              ,1,53
130125197603052744,赵小平              ,0,44
13012520000604031X,李挺                ,1,20
13012520050219123X,陈冰佳              ,1,15
130125201009023130,倪佳                ,1,10
130125201309061550,王文甲              ,1,7
130126196008113161,夏春芳              ,0,60
13012619611224097X,赵本超              ,1,59
130126197406142878,谢科明              ,1,46
130126198002144353,徐卫华              ,1,40
130126198906244971,叶晓云              ,1,31
13012719630912037X,徐文武              ,1,57
130127196401211282,蒋文英              ,0,56
130127196403110477,王建科              ,1,56
130127196811271990,陶惠明              ,1,52
130127199508060107,万婷                ,0,25
13012719990221045X,张泽新              ,1,21
130127200303184435,时亭亭              ,1,17
130127201708144647,纪楠                ,0,3
130128193103153566,杨洁                ,0,89
130128193401010539,牛聪                ,1,86
130128193407123227,郭莉                ,0,86
130128193605064715,忻国利              ,1,84
130128196411092455,李国威              ,1,56
130128199708071595,曾晖                ,1,23
130128200406041628,钟春梅              ,0,16
130128200608010037,仇永元              ,1,14
130128200704272432,黄日成              ,1,13
130128201201293084,尚红静              ,0,8
130128201209060015,金玉叶              ,1,8
130129193210293165,黄洁芳              ,0,88
130129193908280665,鲁君                ,0,81
130129196311020805,蔡成香              ,0,57
130129196606211780,范花玲              ,0,54
13012919690201241X,李祥深              ,1,51
130129198910240024,赖宋红              ,0,31
130129199505250418,张娟聪              ,1,25
130129200706190090,邓旭东              ,1,13
130130194310080140,陆益静              ,0,77
130130194607053557,边亚                ,1,74
130130195110244969,田艳                ,0,69
130130197512100078,符江汉              ,1,45
130130199803093890,杨伟尔              ,1,22
130130200608090876,夏源                ,1,14
130131194105081941,刘婷婷              ,0,79
130131194306164807,钟赤平              ,0,77
130131195404031527,阮小倩              ,0,66
130131195611203619,张西华              ,1,64
130131197805254915,朱靖奏              ,1,42
130131198010283178,申剑                ,1,40
130131199502174415,熊超                ,1,25
130131200305162576,安相华              ,1,17
130131201411241774,杜永淮              ,1,6
13013219330412212X,阮世苗              ,0,87
130132193512110131,梁世宁              ,1,85
130132195401041814,董国良              ,1,66
13013219540819037X,臧星月              ,1,66
13013219631105128X,陈晓兰              ,0,57
130132197010312073,包骏                ,1,50
13013219891105255X,蒋彦                ,1,31
130132199407293789,王建丽              ,0,26
130132199411284519,王金顶              ,1,26
130133193607111387,陈文静              ,0,84
130133194301223997,丁卫亮              ,1,77
130133194804034979,龚隽毅              ,1,72
130133197802151251,陈伟朝              ,1,42
130133198305093219,沈观华              ,1,37
130133199612201659,吴芽生              ,1,24
130133199701200033,何建生              ,1,23
130133200803183698,乔帅                ,1,12
130133201607260531,杜明绍              ,1,4
130181194208054587,王金梅              ,0,78
130181194401234977,陈佳玉              ,1,76
130181194607143317,黄来尺              ,1,74
130181195509212379,顾沈峰              ,1,65
130181196008051057,陈学富              ,1,60
130181199004174555,顾梦苑              ,1,30
130181201204182250,曹永康              ,1,8
130183193411062556,庄荣华              ,1,86
130183193507013556,周圣军              ,1,85
130183193703181186,陶梦婕              ,0,83
130183196402113212,裘金国              ,1,56
130183197011251815,郑竹涛              ,1,50
130183198509240595,刘加顺              ,1,35
130183198810292028,吕晶                ,0,32
130183198812021790,周睿聪              ,1,32
130183199803152558,刚时伟              ,1,22
13018320161207135X,汪芳国              ,1,4
130184193507281047,诸丹艳              ,0,85
13018419391204423X,袁正文              ,1,81
130184194106133988,陈芝兰              ,0,79
130184194402223347,罗丽                ,0,76
130184195204073549,丁琴                ,0,68
130184195403244806,苏少欢              ,0,66
13018419600930473X,孙瑞                ,1,60
130184198110223909,张友平              ,0,39
130184198307183429,陈国桦              ,0,37
130184198508123350,郭柏栋              ,1,35
130184198805224836,李新功              ,1,32
130184199007162751,张占远              ,1,30
130184199105041056,尤国富              ,1,29
130184199508134214,马晓华              ,1,25
13018420040229387X,郭潇                ,1,16
130184201602053736,陆野                ,1,4
130202193611281814,朱崇银              ,1,84
13020219470102455X,张一涵              ,1,73
130202196708253207,杜娟花              ,0,53
130202200402182740,郝丽英              ,0,16
130202201010050735,崔佳亮              ,1,10
130202201310022322,符梦莹              ,0,7
13020319440728316X,徐棵苗              ,0,76
130203196104214860,元媛                ,0,59
130203196807031200,范颖                ,0,52
130203197406020732,饶明清              ,1,46
130203198901023169,屠秋萍              ,0,31
13020320000504448X,朱美                ,0,20
130203201112193397,刘思杰              ,1,9
130204193605042094,刘明理              ,1,84
130204194902074097,赖大飞              ,1,71
130204199504230982,魏永红              ,0,25
130204199911093233,胡友林              ,1,21
130204200705182820,李艳梅              ,0,13
130204201212120933,董良波              ,1,8
130205195902090477,何金                ,1,61
130205196611074332,韩阳                ,1,54
130205199106233324,唐灵                ,0,29
130205200805014732,薛笑言              ,1,12
130205201709201065,廉冬英              ,0,3
130207193503143918,张钿飞              ,1,85
13020719421208422X,周革妮              ,0,78
130207196709150834,张华兴              ,1,53
130207197904071730,杨华杰              ,1,41
130207198505272337,瞿红叶              ,1,35
130207198604162790,李兴武              ,1,34
130207198901091693,刘海兵              ,1,31
130207198907063140,童晓霞              ,0,31
130207201011091696,怀晴峰              ,1,10
130208193409133998,李宏印              ,1,86
130208194402241544,房娜                ,0,76
13020819520530036X,杨海英              ,0,68
130208196410161615,沈俊                ,1,56
130208197002253531,韩大强              ,1,50
130208198111184891,吴富强              ,1,39
130208198210140018,叶夏峰              ,1,38
130208199701184538,马立新              ,1,23
13020820130812351X,袁国中              ,1,7
130209193806200687,张春燕              ,0,82
130209194001022312,周建业              ,1,80
130209195006202878,莫咸明              ,1,70
130209195410132920,倪璇                ,0,66
130209196001112720,姚志敏              ,0,60
130209196202033842,黄玉晶              ,0,58
130209196307203713,曹国强              ,1,57
130224196810030446,董莉丽              ,0,52
130224197009140476,李自新              ,1,50
130224197706013384,唐晶                ,0,43
130224198908181997,徐焕                ,1,31
130224199509283018,胡世宇              ,1,25
130224200810241293,孙晓毅              ,1,12
130225195301113691,刘影                ,1,67
130225195305110885,陈一慧              ,0,67
130225195611160776,翟文武              ,1,64
130225196803090594,孙书凡              ,1,52
130225199302213211,陈维勇              ,1,27
130225199403314580,袁爱玲              ,0,26
130225200604110336,王洲锋              ,1,14
130225201001144611,时鹏                ,1,10
130227194008260818,蒋宁丰              ,1,80
13022719570211185X,任东辉              ,1,63
130227196105010991,田味味              ,1,59
130227196206131979,叶慧伟              ,1,58
13022719671121496X,董先平              ,0,53
130227198304033458,丁明刚              ,1,37
130227199203143898,于六云              ,1,28
130227200102054955,顾东袁              ,1,19
130227201703123797,毛学峰              ,1,3
130229193212270376,顾孟钧              ,1,88
130229193711121041,李荣芳              ,0,83
130229193810022807,吕莲                ,0,82
130229194802102588,张冰冰              ,0,72
130229194805210197,孙云                ,1,72
130229195010130438,廖均海              ,1,70
130229195705120930,李吉刚              ,1,63
130229198903051917,季云杰              ,1,31
130229200311204393,林振宇              ,1,17
130229200805202638,李伟                ,1,12
13022920130121447X,蒋南南              ,1,7
130229201308281325,李玉梅              ,0,7
13028119471214320X,王素芹              ,0,73
13028119570618435X,刘旭东              ,1,63
130281195811241213,侯玉庄              ,1,62
13028119641029305X,谢敏富              ,1,56
130281197601133627,张晓晴              ,0,44
13028119770822334X,王栋馨              ,0,43
130281200012153667,黄蓓                ,0,20
130281200507104840,常春平              ,0,15
130283194103223020,王保红              ,0,79
130283201107274602,王敏艳              ,0,9
130284193708161872,戴涛                ,1,83
130284194909104107,樊亚玲              ,0,71
130284197802202624,何梦雯              ,0,42
130284198302024360,马红娟              ,0,37
130284199311250225,陶小燕              ,0,27
130284201401161189,胥燕                ,0,6
130302193109082057,张良                ,1,89
130302195306051654,赵霄龙              ,1,67
13030219790305107X,吴华清              ,1,41
130302198304080105,张露露              ,0,37
130302200102043357,冯卫                ,1,19
13030220080815063X,吴润冬              ,1,12
130302201502211350,林时松              ,1,5
13030319341004497X,翟章旭              ,1,86
130303193507014312,杨继锋              ,1,85
130303195003062918,唐子恒              ,1,70
130303195804273782,朱虹                ,0,62
130303196301063024,张雯雯              ,0,57
130303197206064322,范春花              ,0,48
130303197301183901,周黔敏              ,0,47
130303198310153514,吴阳                ,1,37
130303199304251577,奚达飞              ,1,27
130303199406052341,候益蓉              ,0,26
130303201103312054,李龙国              ,1,9
130303201208053482,许纯红              ,0,8
130304193701233339,高国山              ,1,83
130304193802172598,周欣                ,1,82
130304196307162089,胡万娟              ,0,57
130304197807221203,张俊霞              ,0,42
130304198310144972,唐昭灿              ,1,37
130304200610094479,程昊                ,1,14
130304200810062586,曹兰兰              ,0,12
130304200810303896,高蕴祺              ,1,12
130304201107103811,张延                ,1,9
13030619311210091X,张俊峰              ,1,89
130306196107071855,张吉生              ,1,59
130306196212182119,张庆龙              ,1,58
130306196908271646,谢晓敏              ,0,51
130306197605184208,龚云斐              ,0,44
130306197610251444,莫菊花              ,0,44
130306198103171356,孙启航              ,1,39
13030619841216407X,何程                ,1,36
130306199409261578,乔拴谦              ,1,26
130306199712100566,吴雅丽              ,0,23
130306199904254105,尤丽洁              ,0,21
130306201107011354,蔡长志              ,1,9
130306201205144716,卓书山              ,1,8
130306201211021528,周吉                ,0,8
130321196202220250,陈泽林              ,1,58
130321197009213520,孙卫红              ,0,50
130321197110143491,邱振宇              ,1,49
130321197305272955,唐鹏程              ,1,47
130321197907202516,杨家帅              ,1,41
130321198606051878,刘兴焕              ,1,34
130321201711021237,陈炽明              ,1,3
130322193607060235,管海涛              ,1,84
13032219410829359X,罗金泉              ,1,79
130322194301311833,闫锋                ,1,77
130322194706301350,艾洪磊              ,1,73
130322195502211526,方琼英              ,0,65
130322195603053184,邱莉莉              ,0,64
130322196509042109,桑明艳              ,0,55
130322197112142552,刘元恒              ,1,49
130322197812262838,焦丽德              ,1,42
13032219791029119X,黄堂泽              ,1,41
130322198812304211,杨溪川              ,1,32
13032419420605347X,孙洪宾              ,1,78
130324194208064770,李扬民              ,1,78
130324194404240591,关丽宁              ,1,76
130324196704064592,姜锋                ,1,53
130324197305081269,邱艳雯              ,0,47
130324199812124250,周通纲              ,1,22
130324200407104550,樊鹏                ,1,16
130324201105091015,王晓云              ,1,9
130402193811153754,贾洪宝              ,1,82
13040219390216175X,蔡延庆              ,1,81
130402195110301370,张元江              ,1,69
130402196409184927,梅丹                ,0,56
130402197109281164,晋云玲              ,0,49
130402198009091229,蔡佩英              ,0,40
130402198602280653,陈俊杰              ,1,34
130402198701092076,巩喜阳              ,1,33
130402199806171787,顾琳菲              ,0,22
130402200007031337,辛锋                ,1,20
130403193110244414,蔡昌彬              ,1,89
130403193502041341,贾妍                ,0,85
130403195107262004,张金晓              ,0,69
13040319600108147X,黎斌                ,1,60
13040319811024410X,孔芳                ,0,39
130403200208290526,柴国芬              ,0,18
130403200710313236,侯晋海              ,1,13
130403201512064835,兰善祥              ,1,5
130404193808014430,江振辉              ,1,82
130404197006060732,王世方              ,1,50
130404197210170955,沈建明              ,1,48
130404197505192238,吴其锋              ,1,45
130404198507164665,袁婧                ,0,35
130404199707271443,黄炜娟              ,0,23
130406193205264257,孟佳                ,1,88
130406196205214579,廖清华              ,1,58
130406196210034628,祝秀兰              ,0,58
130406196707294118,杨章辉              ,1,53
130406197708121088,王红                ,0,43
130406198801110089,曹海燕              ,0,32
130406199208244363,胡立英              ,0,28
13040619960509053X,李泳斌              ,1,24
130406201601062312,吴华良              ,1,4
130406201608061806,李静芸              ,0,4
130407193411034862,白金丽              ,0,86
130407194510154725,辛宗丽              ,0,75
13040719460602305X,李智勇              ,1,74
130407195011121739,张汪年              ,1,70
130407196412030402,袁超芳              ,0,56
130407201112210667,雷雪                ,0,9
13040819650104487X,康胜利              ,1,55
130408197107140905,熊晓燕              ,0,49
130408198412192052,杨志雄              ,1,36
130408198508124871,杨配裕              ,1,35
130408198606101374,吴清满              ,1,34
130408199804164637,成联合              ,1,22
130408199807120912,柴乐乐              ,1,22
130408201102250709,赵芳芳              ,0,9
130423193307232551,李志勇              ,1,87
130423194408224707,陈碧君              ,0,76
130423195103011086,彭燕                ,0,69
130423197209264056,归春章              ,1,48
130423197605111801,方夏青              ,0,44
130423199206194776,张晓磊              ,1,28
130423200607253189,黄临枫              ,0,14
130423200901060433,陈麒百              ,1,11
130424193604090461,毕建敏              ,0,84
130424196803271736,黄晓华              ,1,52
13042419720819171X,吕文海              ,1,48
130424199310294415,方新章              ,1,27
130424200103181800,王菊凤              ,0,19
130424201603074133,程鹏                ,1,4
130425196111152994,张广军              ,1,59
13042519620331257X,杨卫清              ,1,58
130425196310022551,黎志光              ,1,57
130425196806140623,赵爱芹              ,0,52
130425197705183282,张美霞              ,0,43
13042519851110339X,朱怀全              ,1,35
130425199712102128,黄丹                ,0,23
13042619380908229X,田云福              ,1,82
130426194111251949,刘燕香              ,0,79
130426195007230755,李毅毅              ,1,70
130426195111294337,李活                ,1,69
130426195502010936,苏虎                ,1,65
130426195607080033,姜建军              ,1,64
130426197011024996,黄晓峰              ,1,50
130426198202100183,龚月萍              ,0,38
13042620001022443X,陈云召              ,1,20
130426200603031473,胡利继              ,1,14
130426201505013540,王玲丽              ,0,5
130426201610304470,卢妍紫              ,1,4
130427193010231078,来素宾              ,1,90
130427195109054701,孙一苇              ,0,69
13042719701025207X,钟旭东              ,1,50
130427197310042437,万祖锋              ,1,47
130427199601180513,祁永刚              ,1,24
130427199603042827,段西平              ,0,24
130427199604221915,赵国炳              ,1,24
130427199708241902,孙国英              ,0,23
130427199710294050,王福利              ,1,23
130430193810164043,彭兰                ,0,82
130430194104304074,戈范福              ,1,79
130430197004134104,余季平              ,0,50
130430197810160497,张华阳              ,1,42
130431193301260850,税学利              ,1,87
130431193910124117,张纪召              ,1,81
130431196010262470,黎执文              ,1,60
130431196906244603,邹丽萍              ,0,51
130431197107041791,张伟利              ,1,49
130431197306300813,郭阳勇              ,1,47
130431197312302487,章红敏              ,0,47
130431198201034760,顾海燕              ,0,38
130431199107083982,李今秀              ,0,29
130431199501291069,代小丽              ,0,25
130431199509174334,范文翔              ,1,25
130431200109274024,李秀英              ,0,19
130431200807171372,蔺腾飞              ,1,12
130432196106224133,孙改云              ,1,59
13043219820619177X,董准                ,1,38
130432198212014075,唐学东              ,1,38
130432199605244423,毛逸斐              ,0,24
130432201311222034,余艳华              ,1,7
130433193311123684,侯桂兰              ,0,87
130433195910152419,李祥有              ,1,61
13043319621122043X,赵林春              ,1,58
130433197204133455,靳贤飞              ,1,48
130433200505154940,房以芳              ,0,15
130434193105260115,杨剑宇              ,1,89
130434194008080782,蒋玉芳              ,0,80
130434194312070044,吴连芳              ,0,77
130434194710231675,黄英华              ,1,73
130434199003142190,阮光华              ,1,30
130435193111161355,岑军波              ,1,89
130435193407084029,潘婧                ,0,86
130435193701124423,宋林吉              ,0,83
130435194108052961,陈月娥              ,0,79
130435195110052551,徐小纯              ,1,69
130435197306260685,杨逸菲              ,0,47
130435198205020353,王孝江              ,1,38
13043520110425290X,郭小菊              ,0,9
130481195405052717,陈羽                ,1,66
130481196601274645,王瑞梅              ,0,54
130481197008312481,杨勤                ,0,50
130481199907314826,高成平              ,0,21
130502194008174599,陈海云              ,1,80
130502195205283190,陆乐乐              ,1,68
130502195210070114,张湖林              ,1,68
130502196010090318,赵晨昱              ,1,60
130502197204022617,赵海军              ,1,48
130502197210083643,徐梦芸              ,0,48
130502198608013738,李郁强              ,1,34
